2026-02-19 00:12:13 | LOGIN | clayemail | user session: clayemail (DONOR)
2026-02-21 18:44:26 | READ_TICKETS | 5012@gmail.com | tickets queried (status=PICKED_UP) by 5012@gmail.com
2026-02-21 18:44:28 | READ_DONATION_DRIVES |  | drives queried
2026-02-21 18:44:31 | READ_DONATION_DRIVES |  | drives queried
2026-02-21 18:44:55 | CREATE_TICKET | 5012@gmail.com | Donation ticket created successfully. Ticket ID: 1771669995593
2026-02-21 18:44:55 | UPDATE_DRIVE_AMOUNT | null | drive 'Fire Hits Supermarket in Quezon' amount updated by 9500000.0
2026-02-21 18:45:06 | READ_TICKETS | 5012@gmail.com | tickets queried (status=ACCEPTED) by 5012@gmail.com
2026-02-21 18:45:06 | READ_TICKETS | 5012@gmail.com | tickets queried (status=PICKED_UP) by 5012@gmail.com
2026-02-21 18:45:07 | READ_TICKETS | 5012@gmail.com | tickets queried (status=PENDING) by 5012@gmail.com
2026-02-21 18:45:09 | READ_TICKETS | 5012@gmail.com | tickets queried (status=DELIVERED) by 5012@gmail.com
2026-02-21 18:45:10 | READ_TICKETS | 5012@gmail.com | tickets queried (status=REJECTED) by 5012@gmail.com
2026-02-21 18:45:10 | READ_TICKETS | 5012@gmail.com | tickets queried (status=ACCEPTED) by 5012@gmail.com
2026-02-21 18:45:10 | READ_TICKETS | 5012@gmail.com | tickets queried (status=PICKED_UP) by 5012@gmail.com
2026-02-21 18:45:11 | READ_TICKETS | 5012@gmail.com | tickets queried (status=PENDING) by 5012@gmail.com
2026-02-21 18:45:11 | READ_TICKETS | 5012@gmail.com | tickets queried (status=DELIVERED) by 5012@gmail.com
2026-02-21 18:45:11 | READ_TICKETS | 5012@gmail.com | tickets queried (status=REJECTED) by 5012@gmail.com
2026-02-21 18:45:12 | READ_TICKETS | 5012@gmail.com | tickets queried (status=PENDING) by 5012@gmail.com
2026-02-21 18:45:14 | READ_DONATION_DRIVES |  | drives queried
